id,linkrun,objid
30c6603a-b4a3-44f7-9be6-336325f3b2ce,wsdiff_S82_lon_gt_minus2,2240012
30c6603a-b4a3-44f7-9be6-336325f3b2ce,wsdiff_S82_lon_gt_minus2,3502117
30c6603a-b4a3-44f7-9be6-336325f3b2ce,wsdiff_S82_lon_gt_minus2,3517346
fad815c6-5830-4f0b-967d-19e21c6ff51b,wsdiff_S82_lon_gt_minus2,3286369
fad815c6-5830-4f0b-967d-19e21c6ff51b,wsdiff_S82_lon_gt_minus2,2529632
fad815c6-5830-4f0b-967d-19e21c6ff51b,wsdiff_S82_lon_gt_minus2,2085002
fad815c6-5830-4f0b-967d-19e21c6ff51b,wsdiff_S82_lon_gt_minus2,2679162
fad815c6-5830-4f0b-967d-19e21c6ff51b,wsdiff_S82_lon_gt_minus2,3700220
fad815c6-5830-4f0b-967d-19e21c6ff51b,wsdiff_S82_lon_gt_minus2,3809318
93f1b8fa-700c-4889-a683-1c17f3da82c2,wsdiff_S82_lon_gt_minus2,3286672
93f1b8fa-700c-4889-a683-1c17f3da82c2,wsdiff_S82_lon_gt_minus2,3146383
93f1b8fa-700c-4889-a683-1c17f3da82c2,wsdiff_S82_lon_gt_minus2,2179952
93f1b8fa-700c-4889-a683-1c17f3da82c2,wsdiff_S82_lon_gt_minus2,2621479
306d4300-375d-4408-b270-673b19c83e2a,wsdiff_S82_lon_gt_minus2,3156008
306d4300-375d-4408-b270-673b19c83e2a,wsdiff_S82_lon_gt_minus2,3263447
306d4300-375d-4408-b270-673b19c83e2a,wsdiff_S82_lon_gt_minus2,2520891
306d4300-375d-4408-b270-673b19c83e2a,wsdiff_S82_lon_gt_minus2,2062229
306d4300-375d-4408-b270-673b19c83e2a,wsdiff_S82_lon_gt_minus2,2665638
306d4300-375d-4408-b270-673b19c83e2a,wsdiff_S82_lon_gt_minus2,3801660
cdd96ca6-7bae-484a-8158-83b48a488766,wsdiff_S82_lon_gt_minus2,3113921
cdd96ca6-7bae-484a-8158-83b48a488766,wsdiff_S82_lon_gt_minus2,2062406
cdd96ca6-7bae-484a-8158-83b48a488766,wsdiff_S82_lon_gt_minus2,3774812
cdd96ca6-7bae-484a-8158-83b48a488766,wsdiff_S82_lon_gt_minus2,3649809
30753426-76e6-4260-9716-4cac1f63a8ac,wsdiff_S82_lon_gt_minus2,3111620
30753426-76e6-4260-9716-4cac1f63a8ac,wsdiff_S82_lon_gt_minus2,2412587
30753426-76e6-4260-9716-4cac1f63a8ac,wsdiff_S82_lon_gt_minus2,3294935
30753426-76e6-4260-9716-4cac1f63a8ac,wsdiff_S82_lon_gt_minus2,3743806
412039a8-6de1-4af7-a355-3384e568a0a3,wsdiff_S82_lon_gt_minus2,3179455
412039a8-6de1-4af7-a355-3384e568a0a3,wsdiff_S82_lon_gt_minus2,2031660
412039a8-6de1-4af7-a355-3384e568a0a3,wsdiff_S82_lon_gt_minus2,2462652
412039a8-6de1-4af7-a355-3384e568a0a3,wsdiff_S82_lon_gt_minus2,1983022
412039a8-6de1-4af7-a355-3384e568a0a3,wsdiff_S82_lon_gt_minus2,3781041
482e8235-0880-4c01-a071-6f0d1f5e410d,wsdiff_S82_lon_gt_minus2,3159645
482e8235-0880-4c01-a071-6f0d1f5e410d,wsdiff_S82_lon_gt_minus2,3277251
482e8235-0880-4c01-a071-6f0d1f5e410d,wsdiff_S82_lon_gt_minus2,2529629
482e8235-0880-4c01-a071-6f0d1f5e410d,wsdiff_S82_lon_gt_minus2,2082985
482e8235-0880-4c01-a071-6f0d1f5e410d,wsdiff_S82_lon_gt_minus2,2679141
482e8235-0880-4c01-a071-6f0d1f5e410d,wsdiff_S82_lon_gt_minus2,3809321
