,tmpid,designation,ra-hms,dec-dms,v,offset_ra,offset_dec,motion_ra,motion_dec,orbit,comment,id,linkrun,objid,date_obs,ra,dec,expnum,exptime,band,ccd,mag,nite,fakeid,date_added,obscode
15,000125, (79673) 1998 SG44       ,23 59 58.8 ,+01 55 36  ,19.1   ,1.7W   ,1.7N    ,26-    , 2-  , 11o  ,None needed at this time.,04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3757978,2013-10-13 02:34:31,0:00:05.47,1:53:56.7,243508,90.0,i,52,22.8374996185,20131012,0,2016-02-21 02:18:07,807
16,000125, (48458) Merian          ,23 59 53.2 ,+01 59 43  ,17.8   ,3.1W   ,5.8N    ,28-    , 1-  , 14o  ,None needed at this time.,04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3757978,2013-10-13 02:34:31,0:00:05.47,1:53:56.7,243508,90.0,i,52,22.8374996185,20131012,0,2016-02-21 02:18:07,807
17,000125,  (9578) Klyazma         ,00 00 14.0 ,+01 47 06  ,18.3   ,2.1E   ,6.8S    ,28-    ,13-  , 20o  ,None needed at this time.,04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3757978,2013-10-13 02:34:31,0:00:05.47,1:53:56.7,243508,90.0,i,52,22.8374996185,20131012,0,2016-02-21 02:18:07,807
18,000126,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,04574171-ff3f-4806-b45a-8316af82ef47,wsdiff_S82_lon_gt_minus2,3790909,2013-11-08 03:05:12,23:58:20.07,1:44:06.7,251776,90.0,r,47,23.1812000275,20131107,0,2016-02-21 02:18:07,807
19,000194, (27602) Chaselewis      ,23 56 05.8 ,+02 09 19  ,19.5   ,3.3E   ,2.9S    ,28-    ,14-  , 13o  ,None needed at this time.,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3418219,2013-10-13 01:16:43,23:55:52.48,2:12:11.9,243471,90.0,z,6,21.8476982117,20131012,0,2016-02-21 02:18:07,807
20,000195, (27602) Chaselewis      ,23 56 04.5 ,+02 09 09  ,19.5   ,3.0E   ,3.0S    ,28-    ,14-  , 13o  ,None needed at this time.,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3429710,2013-10-13 01:56:29,23:55:52.34,2:12:11.3,243490,90.0,i,6,22.6507987976,20131012,0,2016-02-21 02:18:07,807
21,000196,(178482) 1999 TM45       ,23 54 10.0 ,+02 09 09  ,19.8   ,8.4W   ,2.6N    , 5+    , 0-  ,  9o  ,None needed at this time.,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,2614233,2013-10-28 00:50:05,23:54:43.44,2:06:30.5,247481,90.0,r,23,23.1613998413,20131027,0,2016-02-21 02:18:07,807
22,000197,(138959) 2001 CZ2        ,23 53 39.7 ,+02 02 48  ,19.8   ,5.4W   ,0.3S    , 4+    , 8+  ,  9o  ,None needed at this time.,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3792011,2013-11-08 02:57:04,23:54:01.17,2:03:05.2,251772,90.0,r,3,22.9290008545,20131107,0,2016-02-21 02:18:07,807
23,000197, (38332) 1999 RF131      ,23 54 12.9 ,+02 12 14  ,18.4   ,2.9E   ,9.2N    ,14+    , 6-  , 17o  ,None needed at this time.,046aad7f-c6a1-4cda-a2e4-95b1cdc86a68,wsdiff_S82_lon_gt_minus2,3792011,2013-11-08 02:57:04,23:54:01.17,2:03:05.2,251772,90.0,r,3,22.9290008545,20131107,0,2016-02-21 02:18:07,807
24,000743,(430018) 2013 RT23       ,00 11 23.4 ,+02 26 24  ,19.2   ,5.2E   ,3.6N    ,33-    ,17-  ,  8o  ,None needed at this time.,096eb504-31b9-4510-b866-2ff370db32df,wsdiff_S82_lon_gt_minus2,3382653,2013-09-30 03:37:56,0:11:02.75,2:22:47.8,239654,90.0,i,44,22.8759994507,20130929,0,2016-02-21 02:18:07,807
25,000743,  (7261) Yokootakeo      ,00 11 08.5 ,+02 16 29  ,16.0   ,1.4E   ,6.3S    ,29-    ,25-  , 19o  ,None needed at this time.,096eb504-31b9-4510-b866-2ff370db32df,wsdiff_S82_lon_gt_minus2,3382653,2013-09-30 03:37:56,0:11:02.75,2:22:47.8,239654,90.0,i,44,22.8759994507,20130929,0,2016-02-21 02:18:07,807
26,000743,(148636) 2001 SJ22       ,00 11 35.0 ,+02 18 34  ,19.5   ,8.0E   ,4.2S    ,35-    , 8-  , 11o  ,None needed at this time.,096eb504-31b9-4510-b866-2ff370db32df,wsdiff_S82_lon_gt_minus2,3382653,2013-09-30 03:37:56,0:11:02.75,2:22:47.8,239654,90.0,i,44,22.8759994507,20130929,0,2016-02-21 02:18:07,807
27,000743, (48458) Merian          ,00 10 47.9 ,+02 14 11  ,17.3   ,3.7W   ,8.6S    ,34-    , 3-  , 14o  ,None needed at this time.,096eb504-31b9-4510-b866-2ff370db32df,wsdiff_S82_lon_gt_minus2,3382653,2013-09-30 03:37:56,0:11:02.75,2:22:47.8,239654,90.0,i,44,22.8759994507,20130929,0,2016-02-21 02:18:07,807
28,000745,(115258) 2003 SD164      ,00 08 15.4 ,+02 01 44  ,19.8   ,9.3W   ,0.9S    ,17+    ,10+  , 10o  ,None needed at this time.,096eb504-31b9-4510-b866-2ff370db32df,wsdiff_S82_lon_gt_minus2,3824993,2013-11-08 03:07:15,0:08:52.70,2:02:38.7,251777,90.0,r,33,23.5058994293,20131107,0,2016-02-21 02:18:07,807
29,000496,(213175) 2000 SX107      ,00 05 31.7 ,+01 25 48  ,18.7   ,6.2E   ,1.8N    ,35-    ,13-  ,  9o  ,None needed at this time.,0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,3107515,2013-09-30 03:10:13,0:05:06.84,1:23:59.8,239641,90.0,r,44,21.888999939,20130929,0,2016-02-21 02:18:07,807
30,000496, (70873) 1999 VJ158      ,00 05 03.3 ,+01 16 58  ,18.7   ,0.9W   ,7.0S    ,31-    ,11-  , 14o  ,None needed at this time.,0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,3107515,2013-09-30 03:10:13,0:05:06.84,1:23:59.8,239641,90.0,r,44,21.888999939,20130929,0,2016-02-21 02:18:07,807
31,000497,(213175) 2000 SX107      ,00 05 31.6 ,+01 25 48  ,18.7   ,6.2E   ,1.8N    ,35-    ,13-  ,  9o  ,None needed at this time.,0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,3120013,2013-09-30 03:12:19,0:05:06.84,1:23:59.9,239642,90.0,i,44,21.3475990295,20130929,0,2016-02-21 02:18:07,807
32,000497, (70873) 1999 VJ158      ,00 05 03.2 ,+01 16 58  ,18.7   ,0.9W   ,7.0S    ,31-    ,11-  , 14o  ,None needed at this time.,0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,3120013,2013-09-30 03:12:19,0:05:06.84,1:23:59.9,239642,90.0,i,44,21.3475990295,20130929,0,2016-02-21 02:18:07,807
33,000498,(185728) 1998 UZ3        ,00 03 49.9 ,+01 19 00  ,19.6   ,8.2W   ,0.0N    ,28-    , 5-  , 10o  ,None needed at this time.,0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,2079085,2013-10-11 02:49:18,0:04:22.60,1:18:59.8,242742,90.0,z,44,21.0985984802,20131010,0,2016-02-21 02:18:07,807
34,000501,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,3810628,2013-10-28 01:26:57,0:03:20.97,1:11:55.1,247499,90.0,r,51,21.9284000397,20131027,0,2016-02-21 02:18:07,807
35,000634,         2013 SG37       ,00 05 47.1 ,-04 12 50  ,19.9   ,2.3E   ,6.6N    ,36-    , 2+  ,  2o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (136.3,-05.6,21.8)",0a934a09-0b24-4319-87f6-b1e554dd69b0,wsdiff_S82_lon_gt_minus2,1523887,2013-10-04 05:25:03,0:05:37.79,-4:19:27.2,241142,90.0,r,14,22.2973995209,20131003,0,2016-02-21 02:18:07,807
36,000634, (10915) 1997 YU16       ,00 06 04.5 ,-04 12 27  ,18.1   ,6.7E   ,7.0N    ,31-    ,11-  , 19o  ,None needed at this time.,0a934a09-0b24-4319-87f6-b1e554dd69b0,wsdiff_S82_lon_gt_minus2,1523887,2013-10-04 05:25:03,0:05:37.79,-4:19:27.2,241142,90.0,r,14,22.2973995209,20131003,0,2016-02-21 02:18:07,807
37,000635,         2013 SG37       ,00 05 47.0 ,-04 12 50  ,19.9   ,2.3E   ,6.6N    ,36-    , 2+  ,  2o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (136.3,-05.6,21.8)",0a934a09-0b24-4319-87f6-b1e554dd69b0,wsdiff_S82_lon_gt_minus2,1624204,2013-10-04 05:27:04,0:05:37.79,-4:19:27.2,241143,90.0,i,14,21.9444007874,20131003,0,2016-02-21 02:18:07,807
