id,linkrun,chisq,ndof,a,e,i,aop,node,peri_jd,peri_date,epoch_jd,mean_anomaly,period,period_err,a_err,e_err,i_err,aop_err,node_err,peri_err,lat0,lon0,xBary,yBary,zBary,abg_a,abg_b,abg_g,abg_adot,abg_bdot,abg_gdot,abg_a_err,abg_b_err,abg_g_err,abg_adot_err,abg_bdot_err,abg_gdot_err
bc1eb327-5c02-4b68-bce7-cc4ca1992b2a,wsdiff_S82_lon_gt_minus2,0.59,5,60.525,0.3306,22.0422,286.49,186.72,2490571.99,75551.99482324766,2456576.62,288.79480769946946,470.872,364.85,31.26,0.6262,1.0012,47.76,0.139,52385.23,0.0196,0.0656,-0.2393,0.0191,-0.9688,1.0833867866570348e-05,-4.71829859680369e-06,0.01677658243582481,0.011835271442069688,-0.004790238668666957,-0.004526758870424056,7.5020984347606508e-07,4.2348192157786521e-07,9.2613060497254208e-05,0.00055153760288079959,1.3752160151561342e-05,0.0096916712719160667
5e51ead4-5bf6-4c8f-9ba7-b6e269250d5d,wsdiff_S82_lon_gt_minus2,2.02,3,41.526,0.2349,31.7484,333.84,0.713,2451879.65,36859.648440491874,2456576.62,17.311497578710814,267.595,48.767,5.05,0.3274,3.4567,209.34,0.235,32839.57,0.0203,0.0361,-0.2678,0.0196,-0.9613,1.6277916014152453e-05,1.0283246163479989e-05,0.031698873728749924,0.032685133939975845,0.020198691130870628,0.0032871519243899906,2.5410608387836729e-06,4.5542120605505531e-07,0.00071972502008955854,0.0042294406872655154,3.3672754350895482e-05,0.028917889182860555
ae72eac1-4182-4fbe-8c24-ceeda1e4cfca,wsdiff_S82_lon_gt_minus2,1.3,5,42.031,0.3531,1.6914,122.88,344.66,2474886.49,59866.49083049316,2456576.62,293.72880820578712,272.493,213.238,21.93,0.5742,0.1747,43.02,1.631,15646.72,0.0081,-0.004,-0.306,0.0078,-0.95,1.4553537600057505e-05,5.772584752185603e-07,0.024897354472282623,0.023017449465408103,0.0006597415146772723,-0.008871317369374045,2.3200833549049086e-06,3.818612825892084e-07,0.00051128366021574185,0.0028507919007293692,2.2128359074296564e-05,0.01566558994579903
75a566eb-e655-46fa-8325-f6dfd76252d6,wsdiff_S82_lon_gt_minus2,2.86,7,37.382,0.1085,27.9354,358.8,186.408,2415386.96,366.9561284244992,2456565.65,177.69312155841874,228.558,54.935,5.99,0.2551,4.9304,646.52,0.565,148713.65,0.0257,0.0631,-0.0558,0.0258,-0.9997,1.2489516138236487e-05,-6.503236953570707e-06,0.02473146980782477,0.020158524828493906,-0.010673091357563407,5.624493581386132e-05,2.6531773538253783e-06,5.793283617910758e-07,0.00064100688785972612,0.0040888935560862627,5.7620507456482556e-05,0.03149569592634735
45c406e8-90be-4b38-8c7c-e84509723acb,wsdiff_S82_lon_gt_minus2,1.19,5,40.173,0.279,0.774,211.17,253.436,2474498.87,59478.87102381885,2456565.65,290.53599932555477,254.62,194.56,20.46,0.6362,0.0152,56.78,3.146,19573.63,0.0131,0.0484,-0.0706,0.0132,-0.9991,1.539770797994459e-05,-1.0439456418192669e-07,0.026127225384634262,0.025444228221771108,-0.00011137685352314631,-0.007419318839006314,1.596888818028578e-06,5.7740227238686658e-07,0.00035424264918774057,0.0022541036342166314,1.708122488132071e-05,0.017905896819455879
03d62ca5-cf6b-48a2-acec-089ec341d0f0,wsdiff_S82_lon_gt_minus2,1.19,5,47.477,0.2001,5.7998,86.57,193.019,2436434.73,21414.734044655226,2456565.65,60.692458936980856,327.132,193.21,18.69,1.5218,2.371,228.34,4.358,26130.1,0.0189,0.0424,-0.0765,0.019,-0.9985,1.4739739732832108e-05,-1.8117803382135192e-06,0.023001915308267878,0.02185175816790779,-0.0021824476448936117,0.004215149107678126,6.2414676868533063e-06,5.0209969647208003e-07,0.0014481174558566691,0.0090058971309366978,4.1529739216130319e-05,0.035032187209269219
aaf49927-dddd-4a88-984b-8652226ae219,wsdiff_S82_lon_gt_minus2,2.52,9,43.761,0.3115,47.2073,97.03,356.969,2473785.93,58765.927627643105,2456565.63,301.33069729298649,289.484,213.524,21.52,0.6375,2.9139,19.89,0.187,13619.6,0.0359,-0.024,-0.1423,0.0357,-0.9908,1.0442510612956711e-05,1.154769101471131e-05,0.025336707386814636,0.016793816067263986,0.018161156476237113,-0.007915160356703086,1.1877934713732214e-06,4.3856778604086945e-07,0.00026197446848430907,0.0016523037016154011,1.1151157461257717e-05,0.016199056650761427
df73ac71-5099-4fe2-9897-83eb6d85b673,wsdiff_S82_lon_gt_minus2,1.9,3,50.17,0.4345,1.8673,158.15,289.635,2470112.42,55092.415297285654,2456565.65,322.40257987918778,355.363,288.628,27.17,0.4371,0.0081,6.35,0.859,5374.96,0.0322,0.0654,-0.0536,0.0323,-0.9997,1.6586841407605848e-05,3.638820209183235e-07,0.026373648271384758,0.027165488653246455,0.00025184441047204555,-0.011269184385772103,1.0973625226073957e-06,4.7940199438050472e-07,0.00024196703653817976,0.0015296330288861243,1.9412031529123038e-05,0.010884732905375182
864dda72-054f-42f5-9936-212e18f1fdf0,wsdiff_S82_lon_gt_minus2,1.67,3,49.981,0.4685,22.7833,259.78,187.31,2468800.62,53780.61837814003,2456565.65,325.85017933553081,353.353,273.121,25.75,0.3807,1.1634,4.48,0.2,4007.61,0.0265,0.0648,-0.0542,0.0266,-0.9998,1.5453690880446656e-05,-6.16798276279294e-06,0.02772167580959592,0.02706409717766553,-0.011339716939471872,-0.013038408641246568,1.2017967698869207e-06,6.2019135161069358e-07,0.00023643213799305591,0.0014972211942081823,2.5455346523238539e-05,0.010202516019336727
571187e0-fdc0-493c-90aa-9b8bef9c1a1c,wsdiff_S82_lon_gt_minus2,0.43,5,42.623,0.3401,8.5825,268.16,188.92,2472506.61,57486.61197251035,2456565.63,303.50131156809209,278.273,200.78,20.5,0.5136,0.5592,24.57,0.481,10820.5,0.0195,0.027,-0.0916,0.0196,-0.9973,1.550372881240718e-05,-2.2455844073262085e-06,0.02634333798614815,0.02579234467248789,-0.0038583937826734893,-0.009197393424314314,1.282058878862132e-06,5.8658875319370097e-07,0.00025865415247123446,0.0016396224954569932,2.0876660799754279e-05,0.013856843152005711
b28211cc-9c50-467d-98ff-a2ffd3ea9feb,wsdiff_S82_lon_gt_minus2,0.9,5,47.543,0.3642,34.3722,110.71,357.367,2478559.67,63539.67201184947,2456565.65,293.82893919017852,327.817,254.657,24.62,0.5376,2.0057,39.21,0.133,18176.39,0.0218,-0.0177,-0.1363,0.0217,-0.9921,1.1072523792785648e-05,7.919425446359913e-06,0.02190687899056663,0.01563357009890126,0.010705479139845887,-0.007447124073357802,1.0150458126368995e-06,4.6375927793619136e-07,0.00018086464315324597,0.0011360342963941191,1.1947562018693832e-05,0.012448105544476328
0a48b490-1460-412a-b66a-1ea4a8013630,wsdiff_S82_lon_gt_minus2,1.13,7,47.402,0.3111,4.2956,68.13,191.998,2434844.46,19824.46292706579,2456565.63,65.642789895576854,326.356,232.115,22.48,0.8997,0.4452,8.56,1.066,21575.25,0.0135,0.0302,-0.0884,0.0136,-0.9976,1.4537061280193488e-05,-8.013317302627267e-07,0.0223734774434037,0.020101305118059132,-0.0014865660187816621,0.00651019644618459,1.569134955837006e-06,4.4984306722167156e-07,0.00032066855401962588,0.0020355267579560926,1.6302840803586688e-05,0.019475365408259997
c59069a4-0d04-44a3-88a7-a6b7a74202e5,wsdiff_S82_lon_gt_minus2,1.45,5,58.313,0.153,3.222,100.24,205.94,2438755.45,23735.44698003307,2456565.65,39.447593564963043,445.29,253.441,22.13,0.8645,0.7343,363.41,6.747,107221.84,0.0263,-0.0271,-0.1457,0.0262,-0.9906,1.4369464732537825e-05,-7.614432868983012e-07,0.019572372579214986,0.017812985128604922,-0.0008899209880679642,0.0019262730442908434,3.7990841831593647e-06,7.038993231490809e-07,0.00074627093313770767,0.0045416097090997158,4.1270152841876257e-05,0.020302853506104033
