,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
228,2220671,38845d93-2e8e-4bb0-8546-522052fce711,23:50:32.26,1:17:25.5,22.8238983154,(423611) 2005 WZ68       ,23 50 31.1 ,+01 13 15  ,22.2   ,0.3W   ,4.2S    ,25-    ,11-  ,  6o  ,None needed at this time.,0.00121738312608
229,3461534,38845d93-2e8e-4bb0-8546-522052fce711,23:50:27.79,1:16:45.6,22.6448993683, (73051) 2002 EQ126      ,23 50 40.9 ,+01 13 49  ,17.6   ,3.3E   ,2.9S    , 2-    ,30-  , 12o  ,None needed at this time.,0.00128123181207
230,3251886,3925945c-8517-4968-bf35-7247705d9252,23:56:44.94,-0:03:18.5,21.8970985413,         2013 SC17       ,23 56 27.9 ,-00 02 52  ,21.1   ,4.3W   ,0.4N    ,28-    ,20-  , 36d  ,"Desirable between 2016 Feb. 25-Mar. 11.  (122.4,-11.4,23.7)",0.00124582549289
231,3466430,3925945c-8517-4968-bf35-7247705d9252,23:56:44.94,-0:03:18.5,21.2800998688,         2013 SC17       ,23 56 27.8 ,-00 02 53  ,21.1   ,4.3W   ,0.4N    ,28-    ,20-  , 36d  ,"Desirable between 2016 Feb. 25-Mar. 11.  (122.4,-11.4,23.7)",0.00125257135113
232,3598759,3925945c-8517-4968-bf35-7247705d9252,23:55:46.51,-0:09:18.6,20.9412994385,         2009 SG86       ,23 55 53.3 ,-00 09 45  ,22.0   ,1.7E   ,0.4S    ,21-    , 6-  ,  4d  ,Leave for survey recovery.,0.000510099169483
233,2610032,3925945c-8517-4968-bf35-7247705d9252,23:55:46.44,-0:09:18.8,21.3763999939,         2009 SG86       ,23 55 52.8 ,-00 09 48  ,22.0   ,1.6E   ,0.5S    ,21-    , 6-  ,  4d  ,Leave for survey recovery.,0.00048369075553
234,3801912,3925945c-8517-4968-bf35-7247705d9252,23:54:46.45,-0:15:27.6,21.6798000336,(213479) 2002 EY135      ,23 54 38.0 ,-00 18 47  ,19.7   ,2.1W   ,3.3S    ,14+    ,14+  , 10o  ,None needed at this time.,0.00114548990456
235,3801912,3925945c-8517-4968-bf35-7247705d9252,23:54:46.45,-0:15:27.6,21.6798000336,(278835) 2008 SB289      ,23 54 28.6 ,-00 16 30  ,21.5   ,4.5W   ,1.0S    ,15-    , 0+  ,  7o  ,None needed at this time.,0.00133286093945
236,3795574,3925945c-8517-4968-bf35-7247705d9252,23:54:10.20,-0:19:08.5,21.9813995361,(424572) 2008 FO133      ,23 54 09.4 ,-00 20 52  ,21.3   ,0.2W   ,1.7S    ,12+    ,10+  ,  4o  ,None needed at this time.,0.000505143404507
237,3795574,3925945c-8517-4968-bf35-7247705d9252,23:54:10.20,-0:19:08.5,21.9813995361, (16882) 1998 BO13       ,23 54 05.4 ,-00 17 04  ,19.7   ,1.2W   ,2.1N    , 6-    , 2-  , 17o  ,None needed at this time.,0.000697257581064
238,3795574,3925945c-8517-4968-bf35-7247705d9252,23:54:10.20,-0:19:08.5,21.9813995361,         2009 HZ9        ,23 54 19.3 ,-00 18 15  ,23.2   ,2.3E   ,0.9N    ,12+    , 0-  , 11d  ,Leave for survey recovery.,0.000710776355222
239,3795574,3925945c-8517-4968-bf35-7247705d9252,23:54:10.20,-0:19:08.5,21.9813995361,(215399) 2002 DT17       ,23 54 09.2 ,-00 21 57  ,21.6   ,0.3W   ,2.8S    , 9+    , 4+  ,  9o  ,None needed at this time.,0.000820141436356
240,3795574,3925945c-8517-4968-bf35-7247705d9252,23:54:10.20,-0:19:08.5,21.9813995361,         2012 KZ31       ,23 54 26.5 ,-00 18 55  ,22.2   ,4.1E   ,0.2N    ,10+    , 0+  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (131.7,-10.3,22.2)",0.0011871568404
241,3795574,3925945c-8517-4968-bf35-7247705d9252,23:54:10.20,-0:19:08.5,21.9813995361,(376422) 2012 GP31       ,23 54 15.6 ,-00 14 59  ,22.6   ,1.4E   ,4.2N    , 1+    , 5+  ,  7o  ,None needed at this time.,0.00127175682746
242,3142657,39b33c43-ab99-4ee4-a67b-9411b4bbf3d7,0:14:24.39,2:02:59.6,20.8379993439,(278181) 2007 DD92       ,00 14 25.5 ,+02 00 40  ,20.4   ,0.3E   ,2.3S    ,34-    ,10-  ,  7o  ,None needed at this time.,0.000681590697958
243,2674620,39b33c43-ab99-4ee4-a67b-9411b4bbf3d7,0:12:53.78,1:52:51.3,22.3923988342,         2011 GD10       ,00 13 02.8 ,+01 53 37  ,20.4   ,2.3E   ,0.8N    ,29-    , 0-  ,  3d  ,Leave for survey recovery.,0.000692023351368
244,3797701,39b33c43-ab99-4ee4-a67b-9411b4bbf3d7,0:11:17.76,1:42:00.4,20.5635986328,(280675) 2005 ED177      ,00 11 13.9 ,+01 42 21  ,21.2   ,1.0W   ,0.3N    ,13-    ,13-  ,  6o  ,None needed at this time.,0.00029782753046
245,3464429,3e066b3e-ea75-4f4a-bb55-e448b1dae16e,23:55:30.74,-0:07:56.5,22.3149986267,(160887) 2001 QD223      ,23 55 33.0 ,-00 12 28  ,19.1   ,0.6E   ,4.5S    ,27-    ,10-  , 14o  ,None needed at this time.,0.00132649000926
246,2605936,3e066b3e-ea75-4f4a-bb55-e448b1dae16e,23:53:49.44,-0:15:31.9,22.2059993744,(389622) 2011 HU90       ,23 53 45.2 ,-00 13 07  ,21.3   ,1.0W   ,2.4N    ,20-    ,17-  ,  5o  ,None needed at this time.,0.000767184518414
247,3808787,3e066b3e-ea75-4f4a-bb55-e448b1dae16e,23:52:02.21,-0:23:17.4,23.356300354,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
248,3157556,3ec4ffe4-3e22-47b8-95e9-a57e9a250ee7,0:07:24.65,2:51:42.3,20.6898002625, (23279) Chenhungjen     ,00 07 16.8 ,+02 56 11  ,16.6   ,2.0W   ,4.5N    ,37-    , 6-  , 14o  ,None needed at this time.,0.00142199483883
249,3776831,3ec4ffe4-3e22-47b8-95e9-a57e9a250ee7,0:05:02.12,2:36:26.9,20.8626995087,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
250,2229189,3f458ff9-1943-4499-843e-eeeb111e2a34,23:53:56.46,1:18:34.5,22.7714996338,(176116) 2001 DY61       ,23 54 07.5 ,+01 20 48  ,21.0   ,2.8E   ,2.2N    ,29-    ,10-  ,  8o  ,None needed at this time.,0.00103108001465
251,3507404,3f458ff9-1943-4499-843e-eeeb111e2a34,23:53:53.58,1:18:14.7,22.8628005981,         2013 RL68       ,23 53 44.5 ,+01 20 16  ,19.7   ,2.3W   ,2.0N    ,29-    ,14+  ,  4o  ,"Very desirable between 2016 Mar. 10-Apr. 9.  (170.8,+04.4,21.2)",0.000884094289187
252,2642357,3f458ff9-1943-4499-843e-eeeb111e2a34,23:53:13.14,1:13:32.3,23.5083999634,         2004 FE57       ,23 53 28.2 ,+01 14 08  ,23.9   ,3.8E   ,0.6N    ,12-    , 6-  ,  6d  ,Leave for survey recovery.,0.00110853645062
253,2642357,3f458ff9-1943-4499-843e-eeeb111e2a34,23:53:13.14,1:13:32.3,23.5083999634,(275146) 2009 VG81       ,23 53 02.2 ,+01 09 51  ,21.1   ,2.7W   ,3.7S    , 9-    ,12-  ,  9o  ,None needed at this time.,0.0013355784254
254,2622916,3f458ff9-1943-4499-843e-eeeb111e2a34,23:53:13.11,1:13:32.1,22.6288986206,         2004 FE57       ,23 53 28.1 ,+01 14 07  ,23.9   ,3.7E   ,0.6N    ,12-    , 6-  ,  6d  ,Leave for survey recovery.,0.00110290818227
255,2622916,3f458ff9-1943-4499-843e-eeeb111e2a34,23:53:13.11,1:13:32.1,22.6288986206,(275146) 2009 VG81       ,23 53 02.1 ,+01 09 50  ,21.1   ,2.8W   ,3.7S    , 9-    ,12-  ,  9o  ,None needed at this time.,0.00134172632851
256,3809918,3f458ff9-1943-4499-843e-eeeb111e2a34,23:52:48.44,1:10:32.8,23.3373985291,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
257,3319980,3f99209d-d217-4611-a965-56a97877db9d,0:16:01.85,0:50:31.5,22.0755004883,(284163) 2005 YX75       ,00 15 47.6 ,+00 48 17  ,20.7   ,3.6W   ,2.2S    ,32-    ,11-  ,  7o  ,None needed at this time.,0.00122428534583
258,2702983,3f99209d-d217-4611-a965-56a97877db9d,0:15:13.91,0:45:29.4,21.6608009338,(197133) 2003 UF235      ,00 15 18.0 ,+00 44 34  ,21.0   ,1.0E   ,0.9S    ,26-    , 9-  , 10o  ,None needed at this time.,0.000400737052568
259,2702983,3f99209d-d217-4611-a965-56a97877db9d,0:15:13.91,0:45:29.4,21.6608009338,(273806) 2007 FK27       ,00 14 58.2 ,+00 43 06  ,21.2   ,3.9W   ,2.4S    ,26-    ,15-  ,  6o  ,None needed at this time.,0.00133728857918
260,3575879,3f99209d-d217-4611-a965-56a97877db9d,0:15:13.88,0:45:29.0,22.2052993774,(197133) 2003 UF235      ,00 15 17.3 ,+00 44 31  ,21.0   ,0.9E   ,1.0S    ,26-    , 9-  , 10o  ,None needed at this time.,0.000375386041625
261,3575879,3f99209d-d217-4611-a965-56a97877db9d,0:15:13.88,0:45:29.0,22.2052993774,(273806) 2007 FK27       ,00 14 57.5 ,+00 43 00  ,21.2   ,4.1W   ,2.5S    ,26-    ,15-  ,  6o  ,None needed at this time.,0.00139302325526
262,3827804,3f99209d-d217-4611-a965-56a97877db9d,0:13:50.86,0:36:57.4,22.6543006897,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
263,2031660,412039a8-6de1-4af7-a355-3384e568a0a3,0:07:51.47,2:30:14.6,21.0461006165,(326278) 1996 GA16       ,00 07 47.5 ,+02 33 11  ,21.2   ,1.0W   ,2.9N    ,29-    ,19-  ,  6o  ,None needed at this time.,0.00090253845362
264,2031660,412039a8-6de1-4af7-a355-3384e568a0a3,0:07:51.47,2:30:14.6,21.0461006165,(201361) 2002 TX242      ,00 08 00.8 ,+02 32 27  ,19.7   ,2.3E   ,2.2N    ,24-    ,14-  ,  8o  ,None needed at this time.,0.000933537978804
265,2031660,412039a8-6de1-4af7-a355-3384e568a0a3,0:07:51.47,2:30:14.6,21.0461006165,         2006 SF260      ,00 07 33.8 ,+02 30 46  ,20.8   ,4.4W   ,0.5N    ,21-    , 3-  ,  3o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (102.0,-20.6,23.3)",0.00129276181529
266,2462652,412039a8-6de1-4af7-a355-3384e568a0a3,0:07:47.42,2:29:40.4,21.4538002014,(263670) 2008 GQ114      ,00 07 57.2 ,+02 25 32  ,21.3   ,2.5E   ,4.1S    ,30-    ,12-  ,  7o  ,None needed at this time.,0.00139828030056
267,1983022,412039a8-6de1-4af7-a355-3384e568a0a3,0:07:47.41,2:29:40.2,21.309299469,(263670) 2008 GQ114      ,00 07 57.0 ,+02 25 31  ,21.3   ,2.4E   ,4.2S    ,30-    ,12-  ,  7o  ,None needed at this time.,0.00139467457478
268,3781041,412039a8-6de1-4af7-a355-3384e568a0a3,0:06:47.57,2:20:58.7,22.0911998749, (57922) 2002 FU8        ,00 06 46.4 ,+02 20 46  ,18.0   ,0.3W   ,0.2S    , 2-    ,16-  , 15o  ,None needed at this time.,0.000104968105484
269,3432797,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:58.89,1:47:22.1,22.3490982056,(246574) 2008 TV135      ,00 09 11.7 ,+01 50 10  ,20.5   ,3.2E   ,2.8N    ,29-    ,10-  ,  9o  ,None needed at this time.,0.0012367508904
270,3432797,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:58.89,1:47:22.1,22.3490982056,(320069) 2007 EL43       ,00 08 51.4 ,+01 51 33  ,20.6   ,1.9W   ,4.2N    ,30-    ,14-  , 10o  ,None needed at this time.,0.00133266928638
271,2513751,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:02.97,1:41:15.2,22.4958992004,(281641) 2008 UD335      ,00 08 13.7 ,+01 41 44  ,21.0   ,2.7E   ,0.5N    ,25-    , 9-  , 10o  ,None needed at this time.,0.000792366668506
272,2513751,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:02.97,1:41:15.2,22.4958992004,(375745) 2009 SU33       ,00 07 57.8 ,+01 38 46  ,20.8   ,1.3W   ,2.5S    ,33-    , 2-  ,  5o  ,None needed at this time.,0.000815144014698
273,2513751,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:02.97,1:41:15.2,22.4958992004,         2015 BH152      ,00 08 19.3 ,+01 39 40  ,21.4   ,4.1E   ,1.6S    ,23-    , 7-  ,   o  ,Leave for survey recovery.,0.00127361502487
274,2051104,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:02.96,1:41:14.9,22.0313987732,(281641) 2008 UD335      ,00 08 13.5 ,+01 41 43  ,21.0   ,2.6E   ,0.5N    ,25-    , 9-  , 10o  ,None needed at this time.,0.000778174200143
275,2051104,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:02.96,1:41:14.9,22.0313987732,(375745) 2009 SU33       ,00 07 57.6 ,+01 38 45  ,20.8   ,1.3W   ,2.5S    ,33-    , 2-  ,  5o  ,None needed at this time.,0.000824592419363
276,2051104,45c406e8-90be-4b38-8c7c-e84509723acb,0:08:02.96,1:41:14.9,22.0313987732,         2015 BH152      ,00 08 19.1 ,+01 39 40  ,21.4   ,4.0E   ,1.6S    ,23-    , 7-  ,   o  ,Leave for survey recovery.,0.00126022075954
277,3804644,45c406e8-90be-4b38-8c7c-e84509723acb,0:06:55.48,1:33:46.6,23.0869998932, (26939) Jiachengli      ,00 07 13.1 ,+01 35 23  ,19.5   ,4.4E   ,1.6N    ,10-    ,11-  , 16o  ,None needed at this time.,0.00136347836157
278,3804644,45c406e8-90be-4b38-8c7c-e84509723acb,0:06:55.48,1:33:46.6,23.0869998932,(279570) 2011 DN8        ,00 06 35.9 ,+01 33 35  ,20.9   ,4.9W   ,0.2S    ,13-    , 0-  ,  8o  ,None needed at this time.,0.00142447970881
279,1522100,4695770e-b4df-4996-8210-500f331db63b,0:06:30.79,-4:08:55.0,22.4539985657,(109851) 2001 RG132      ,00 06 19.4 ,-04 11 42  ,18.9   ,2.8W   ,2.8S    ,35-    ,10-  ,  9o  ,None needed at this time.,0.0011567073635
280,1613563,4695770e-b4df-4996-8210-500f331db63b,0:06:30.79,-4:08:55.0,22.2024002075,(109851) 2001 RG132      ,00 06 19.3 ,-04 11 42  ,18.9   ,2.9W   ,2.8S    ,35-    ,10-  ,  9o  ,None needed at this time.,0.00116189843316
281,3799257,4695770e-b4df-4996-8210-500f331db63b,0:04:16.65,-4:22:03.0,22.2423000336,         2007 AT4        ,00 04 18.4 ,-04 23 17  ,22.5   ,0.4E   ,1.2S    , 7+    , 6+  ,  9d  ,Leave for survey recovery.,0.000380541607577
282,3799257,4695770e-b4df-4996-8210-500f331db63b,0:04:16.65,-4:22:03.0,22.2423000336,(276121) 2002 GK80       ,00 04 07.6 ,-04 20 35  ,21.6   ,2.3W   ,1.5N    , 8-    , 4+  ,  6o  ,None needed at this time.,0.000782726960311
283,3799257,4695770e-b4df-4996-8210-500f331db63b,0:04:16.65,-4:22:03.0,22.2423000336,         2005 SY275      ,00 04 24.7 ,-04 19 47  ,22.0   ,2.0E   ,2.3N    ,24+    ,12+  ,  3o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 90.7,-18.6,24.4)",0.000880610806233
284,3159645,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:57.48,1:18:59.4,23.0340003967,         2011 DH36       ,00 10 46.0 ,+01 16 25  ,20.9   ,2.9W   ,2.6S    ,32-    ,14-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (104.0,-17.8,22.7)",0.00112113676575
285,3159645,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:57.48,1:18:59.4,23.0340003967,(418682) 2008 TJ172      ,00 11 09.6 ,+01 16 29  ,21.1   ,3.0E   ,2.5S    ,28-    ,11-  ,  7o  ,None needed at this time.,0.00114373395422
286,3277251,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:57.48,1:18:59.4,22.4762001038,         2011 DH36       ,00 10 45.9 ,+01 16 24  ,20.9   ,2.9W   ,2.6S    ,32-    ,14-  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (104.0,-17.8,22.7)",0.00112978690072
287,3277251,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:57.48,1:18:59.4,22.4762001038,(418682) 2008 TJ172      ,00 11 09.6 ,+01 16 29  ,21.1   ,3.0E   ,2.5S    ,28-    ,11-  ,  7o  ,None needed at this time.,0.00114373395422
288,2529629,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:03.36,1:11:38.9,22.9050998688,         2009 QL         ,00 10 00.2 ,+01 08 46  ,20.5   ,0.8W   ,2.9S    ,26-    ,16-  , 12d  ,Leave for survey recovery.,0.000869159290392
289,2529629,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:03.36,1:11:38.9,22.9050998688,(192514) 1998 RP12       ,00 10 20.6 ,+01 12 56  ,20.0   ,4.3E   ,1.3N    ,24-    ,12-  , 11o  ,None needed at this time.,0.00130799821809
290,2082985,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:03.36,1:11:38.5,22.5593986511,         2009 QL         ,00 10 00.0 ,+01 08 44  ,20.5   ,0.8W   ,2.9S    ,26-    ,16-  , 12d  ,Leave for survey recovery.,0.000880565677568
291,2082985,482e8235-0880-4c01-a071-6f0d1f5e410d,0:10:03.36,1:11:38.5,22.5593986511,(192514) 1998 RP12       ,00 10 20.4 ,+01 12 54  ,20.0   ,4.3E   ,1.3N    ,24-    ,12-  , 11o  ,None needed at this time.,0.0012918509858
292,3809321,482e8235-0880-4c01-a071-6f0d1f5e410d,0:08:58.06,1:02:35.5,23.2760009766,(221360) 2005 WZ151      ,00 09 03.5 ,+01 04 47  ,19.4   ,1.3E   ,2.2N    , 2-    , 4+  , 11o  ,None needed at this time.,0.000750264244338
293,3809321,482e8235-0880-4c01-a071-6f0d1f5e410d,0:08:58.06,1:02:35.5,23.2760009766,(380741) 2005 SM89       ,00 08 49.5 ,+01 06 49  ,20.3   ,2.1W   ,4.2N    ,14-    ,19+  ,  5o  ,None needed at this time.,0.00137761296701
294,3251904,48780d5b-91a2-420d-afd8-76b0ab1127fe,23:57:11.64,-0:05:19.7,22.5473995209, (97542) 2000 DD43       ,23 57 24.1 ,-00 01 51  ,20.2   ,3.1E   ,3.5N    ,29-    ,10-  , 12o  ,None needed at this time.,0.00135823353144
295,3251904,48780d5b-91a2-420d-afd8-76b0ab1127fe,23:57:11.64,-0:05:19.7,22.5473995209,  (1126) Otero           ,23 57 18.7 ,-00 01 00  ,14.9   ,1.8E   ,4.3N    ,40-    , 9-  , 28o  ,None needed at this time.,0.00135971776231
296,2610039,48780d5b-91a2-420d-afd8-76b0ab1127fe,23:55:56.99,-0:09:09.7,22.7425003052,         2009 SG86       ,23 55 52.8 ,-00 09 48  ,22.0   ,1.1W   ,0.6S    ,21-    , 6-  ,  4d  ,Leave for survey recovery.,0.000356823608279
297,3791622,48780d5b-91a2-420d-afd8-76b0ab1127fe,23:53:51.45,-0:14:20.4,21.9631996155,(420657) 2012 JA25       ,23 53 51.5 ,-00 14 20  ,21.6   ,0.0E   ,0.0N    , 2+    , 5-  ,  6o  ,None needed at this time.,4.12089181368e-06
298,3791622,48780d5b-91a2-420d-afd8-76b0ab1127fe,23:53:51.45,-0:14:20.4,21.9631996155, (56163) 1999 DE3        ,23 53 34.6 ,-00 13 17  ,20.6   ,4.2W   ,1.0N    , 1+    , 1+  , 12o  ,None needed at this time.,0.00126331962432
299,3791622,48780d5b-91a2-420d-afd8-76b0ab1127fe,23:53:51.45,-0:14:20.4,21.9631996155, (16882) 1998 BO13       ,23 54 05.4 ,-00 17 04  ,19.7   ,3.5E   ,2.7S    , 6-    , 2-  , 17o  ,None needed at this time.,0.00128772214695
300,2465988,4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,23:55:19.74,-0:00:49.7,22.539100647, (13637) 1995 YO3        ,23 55 14.0 ,+00 00 41  ,17.6   ,1.4W   ,1.5N    ,26-    ,11-  , 14o  ,None needed at this time.,0.000606302102482
301,2409154,4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,23:55:19.73,-0:00:49.8,22.1972007751, (13637) 1995 YO3        ,23 55 13.9 ,+00 00 41  ,17.6   ,1.4W   ,1.5N    ,26-    ,11-  , 14o  ,None needed at this time.,0.000611175716474
302,3593892,4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,23:55:15.43,-0:01:11.4,22.2233009338,(187706) 2008 EU34       ,23 55 27.1 ,-00 02 11  ,21.1   ,2.9E   ,1.0S    ,26-    ,15-  , 10o  ,None needed at this time.,0.000896507607791
303,2606860,4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,23:55:15.37,-0:01:11.7,22.4832000732,(187706) 2008 EU34       ,23 55 26.5 ,-00 02 16  ,21.1   ,2.8E   ,1.1S    ,26-    ,15-  , 10o  ,None needed at this time.,0.000867353019018
304,3791608,4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,23:53:35.21,-0:09:09.1,22.5344009399,(326278) 1996 GA16       ,23 53 24.9 ,-00 10 23  ,22.1   ,2.6W   ,1.2S    , 9+    , 1-  ,  6o  ,None needed at this time.,0.000830966112078
305,3791608,4c2b0ea6-675c-4c05-875d-56e9ea0f3d99,23:53:35.21,-0:09:09.1,22.5344009399, (56163) 1999 DE3        ,23 53 34.6 ,-00 13 17  ,20.6   ,0.1W   ,4.1S    , 1+    , 1+  , 12o  ,None needed at this time.,0.00120267150107
306,3360580,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:11:19.84,2:36:45.1,21.617099762,         2006 WM97       ,00 11 12.8 ,+02 36 26  ,20.5   ,1.7W   ,0.3S    ,34-    ,14-  ,  6o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 71.8,-23.4,24.3)",0.000519747585716
307,3360580,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:11:19.84,2:36:45.1,21.617099762,         2002 EO34       ,00 11 13.8 ,+02 39 20  ,19.9   ,1.5W   ,2.6N    ,43-    , 2+  ,  5o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 98.8,-33.1,21.6)",0.000869764845037
308,3360580,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:11:19.84,2:36:45.1,21.617099762,(271839) 2004 TG199      ,00 11 03.1 ,+02 38 19  ,19.0   ,4.2W   ,1.6N    ,29-    ,17-  ,  6o  ,None needed at this time.,0.00129850544835
309,2474227,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:10:00.14,2:25:26.6,22.8793983459,         2005 XL19       ,00 09 52.7 ,+02 26 57  ,20.3   ,1.8W   ,1.5N    ,27-    ,11-  ,  4d  ,Leave for survey recovery.,0.0006959096175
310,3825964,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:07:22.82,2:02:03.0,21.7197990417,(255559) 2006 KK27       ,00 07 22.9 ,+02 02 03  ,22.1   ,0.0E   ,0.0N    , 5+    , 0+  ,  7o  ,None needed at this time.,5.81408862718e-06
311,3825964,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:07:22.82,2:02:03.0,21.7197990417,(379327) 2009 WJ67       ,00 07 31.1 ,+02 01 01  ,21.7   ,2.1E   ,1.0S    , 5-    , 8-  ,  8o  ,None needed at this time.,0.000672658127827
312,3825964,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:07:22.82,2:02:03.0,21.7197990417,(376413) 2012 GK10       ,00 07 15.3 ,+01 58 29  ,21.8   ,1.9W   ,3.6S    , 9+    , 6+  ,  8o  ,None needed at this time.,0.00117265067759
313,3825964,4cd7e33e-a63f-4eb5-ba70-08c42bd2f2da,0:07:22.82,2:02:03.0,21.7197990417, (21106) 1992 PO2        ,00 07 25.3 ,+02 06 22  ,17.6   ,0.6E   ,4.3N    ,31+    , 0+  , 13o  ,None needed at this time.,0.00126853641237
314,3777487,50e5078f-96c0-4dbc-a179-c2d8cbd16281,23:58:33.52,1:21:50.7,22.3321990967,(261924) 2006 KO99       ,23 58 25.3 ,+01 17 55  ,20.7   ,2.1W   ,3.9S    , 7-    ,10-  ,  8o  ,None needed at this time.,0.00128954216037
315,3649620,50e5078f-96c0-4dbc-a179-c2d8cbd16281,23:58:33.51,1:21:50.7,21.5326004028,(261924) 2006 KO99       ,23 58 25.2 ,+01 17 54  ,20.7   ,2.1W   ,3.9S    , 7-    ,10-  ,  8o  ,None needed at this time.,0.0012968754627
316,3798535,50e5078f-96c0-4dbc-a179-c2d8cbd16281,23:58:00.84,1:17:52.7,22.1156005859,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
317,3201092,526a7137-a96c-4793-8b7f-d85f2ae53fbb,0:11:13.59,2:25:13.4,20.6577987671,(430018) 2013 RT23       ,00 11 23.5 ,+02 26 24  ,19.2   ,2.5E   ,1.2N    ,33-    ,17-  ,  8o  ,None needed at this time.,0.000797241471462
318,3382770,526a7137-a96c-4793-8b7f-d85f2ae53fbb,0:11:13.58,2:25:13.3,20.1310997009,(430018) 2013 RT23       ,00 11 23.4 ,+02 26 24  ,19.2   ,2.5E   ,1.2N    ,33-    ,17-  ,  8o  ,None needed at this time.,0.000791550498692
319,3788610,526a7137-a96c-4793-8b7f-d85f2ae53fbb,0:08:52.70,2:02:26.9,20.7626991272,(330976) 2009 TY10       ,00 09 03.4 ,+02 05 25  ,20.3   ,2.7E   ,3.0N    , 5-    ,15-  ,  7o  ,None needed at this time.,0.00116200033345
320,3173623,53823fcd-8dd3-4d23-9b1c-daac792c3d59,0:12:02.22,0:53:39.6,21.5788002014,         2010 UK8        ,00 12 00.7 ,+00 53 38  ,23.0   ,0.4W   ,0.0S    ,54-    ,21-  ,  2o  ,"PHA : Very desirable between 2016 Feb. 25-Mar. 26.  At the first date, object will be within 60 deg of the sun.",0.000110795934512
321,3173623,53823fcd-8dd3-4d23-9b1c-daac792c3d59,0:12:02.22,0:53:39.6,21.5788002014,(376266) 2011 FJ24       ,00 11 49.5 ,+00 51 26  ,20.7   ,3.2W   ,2.2S    ,27-    ,15-  ,  6o  ,None needed at this time.,0.00112915899737
322,3314043,53823fcd-8dd3-4d23-9b1c-daac792c3d59,0:12:02.20,0:53:39.6,21.0337982178,         2010 UK8        ,00 12 00.5 ,+00 53 37  ,23.0   ,0.4W   ,0.0S    ,54-    ,21-  ,  2o  ,"PHA : Very desirable between 2016 Feb. 25-Mar. 26.  At the first date, object will be within 60 deg of the sun.",0.00012425347186
323,3314043,53823fcd-8dd3-4d23-9b1c-daac792c3d59,0:12:02.20,0:53:39.6,21.0337982178,(376266) 2011 FJ24       ,00 11 49.5 ,+00 51 25  ,20.7   ,3.2W   ,2.2S    ,27-    ,15-  ,  6o  ,None needed at this time.,0.00113075901447
324,2693460,53823fcd-8dd3-4d23-9b1c-daac792c3d59,0:11:03.01,0:47:02.5,20.6581993103,         2008 EU161      ,00 10 48.4 ,+00 45 12  ,21.1   ,3.6W   ,1.8S    ,26-    ,16-  ,  6o  ,"Desirable between 2016 Feb. 25-Mar. 26.  ( 74.6,-19.6,22.2)",0.00118980357291
