,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
22,3824993,096eb504-31b9-4510-b866-2ff370db32df,0:08:52.70,2:02:38.7,23.5058994293,         2015 HW160      ,00 08 39.0 ,+02 00 39  ,23.2   ,3.4W   ,2.0S    , 5-    , 8-  ,   o  ,Leave for survey recovery.,0.00115244486924
23,3824993,096eb504-31b9-4510-b866-2ff370db32df,0:08:52.70,2:02:38.7,23.5058994293,         2009 WA181      ,00 09 07.9 ,+02 03 50  ,21.2   ,3.8E   ,1.2N    , 0+    , 4-  ,  4d  ,Leave for survey recovery.,0.00115748605364
24,3107515,0a48b490-1460-412a-b66a-1ea4a8013630,0:05:06.84,1:23:59.8,21.888999939,         2016 CR196      ,00 04 57.4 ,+01 19 54  ,20.5   ,2.3W   ,4.1S    ,32-    , 7-  ,   o  ,"Desirable between 2016 Feb. 29-Mar. 6.  (175.0,+12.6,21.0)",0.00137516959445
25,3120013,0a48b490-1460-412a-b66a-1ea4a8013630,0:05:06.84,1:23:59.9,21.3475990295,         2016 CR196      ,00 04 57.4 ,+01 19 54  ,20.5   ,2.4W   ,4.1S    ,32-    , 7-  ,   o  ,"Desirable between 2016 Feb. 29-Mar. 6.  (175.0,+12.6,21.0)",0.00137558973561
26,2668261,0a48b490-1460-412a-b66a-1ea4a8013630,0:04:14.93,1:18:07.3,21.0023002625,(459835) 2013 SP83       ,00 04 02.5 ,+01 20 43  ,20.4   ,3.1W   ,2.6N    ,17-    ,17-  ,  5o  ,None needed at this time.,0.00117748399133
27,3683732,0a48b490-1460-412a-b66a-1ea4a8013630,0:04:14.83,1:18:06.6,21.5584983826,(459835) 2013 SP83       ,00 04 01.7 ,+01 20 32  ,20.4   ,3.3W   ,2.4N    ,17-    ,17-  ,  5o  ,None needed at this time.,0.00118665329544
28,3810628,0a48b490-1460-412a-b66a-1ea4a8013630,0:03:20.97,1:11:55.1,21.9284000397,         2015 BS22       ,00 03 26.6 ,+01 09 26  ,22.8   ,1.4E   ,2.5S    ,15-    , 8-  , 62d  ,"Desirable between 2016 Feb. 25-Mar. 11.  ( 77.3,-21.3,23.8)",0.000830710923456
29,3810628,0a48b490-1460-412a-b66a-1ea4a8013630,0:03:20.97,1:11:55.1,21.9284000397,         2015 BE238      ,00 03 38.3 ,+01 13 22  ,23.1   ,4.3E   ,1.5N    ,11-    ,10-  ,   o  ,Leave for survey recovery.,0.00132856148962
30,3690474,0a934a09-0b24-4319-87f6-b1e554dd69b0,0:04:46.37,-4:23:53.6,21.7188987732,(186727) 2004 CR         ,00 05 04.6 ,-04 23 42  ,20.8   ,4.6E   ,0.2N    ,31-    , 6-  ,  7o  ,None needed at this time.,0.0013230176112
31,3690474,0a934a09-0b24-4319-87f6-b1e554dd69b0,0:04:46.37,-4:23:53.6,21.7188987732,(175669) 1994 LT3        ,00 04 35.0 ,-04 19 50  ,20.2   ,2.8W   ,4.1N    ,28-    , 7-  , 11o  ,None needed at this time.,0.00144031128829
32,3803785,0a934a09-0b24-4319-87f6-b1e554dd69b0,0:02:40.57,-4:33:02.6,22.058599472,         2015 DF76       ,00 02 35.5 ,-04 30 20  ,23.3   ,1.3W   ,2.7N    , 2-    , 1+  , 27d  ,Leave for survey recovery.,0.000869782140819
33,3354448,0b80883d-07f8-4020-a79b-90063d7e77f2,23:52:48.26,1:35:19.6,22.2397003174,         2011 FA49       ,23 52 40.9 ,+01 34 42  ,21.7   ,1.8W   ,0.6S    ,31-    , 4-  ,  3d  ,Leave for survey recovery.,0.000565231463615
34,3196215,0b80883d-07f8-4020-a79b-90063d7e77f2,23:52:48.24,1:35:19.3,21.6958999634,         2011 FA49       ,23 52 40.7 ,+01 34 42  ,21.7   ,1.9W   ,0.6S    ,31-    , 4-  ,  3d  ,Leave for survey recovery.,0.000577175356326
35,2619897,0b80883d-07f8-4020-a79b-90063d7e77f2,23:51:12.48,1:24:41.5,21.740398407,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
36,3797737,0fce9bca-eac6-48cd-a990-1c218e7d1528,0:13:14.84,2:53:57.7,22.003200531,         2009 SW136      ,00 13 12.8 ,+02 53 26  ,21.3   ,0.5W   ,0.5S    , 4-    ,17-  ,  3o  ,"Desirable between 2016 Feb. 25-Mar. 26.  (100.7,-17.0,23.6)",0.000213475612007
